author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;underground
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/286439708/;Москва;rent;flat;7;9;5;229.0;1004;230000;0;Тверской;Тверская;Маяковская
Solo-Rielt;real_estate_agent;https://www.cian.ru/rent/flat/288951856/;Москва;rent;flat;5;5;4;96.0;885;85000;50;Таганский;Большой Дровяной переулок;Таганская
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/288964585/;Москва;rent;flat;3;6;4;125.0;1280;160000;0;Мещанский;Последний переулок;Сухаревская
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/288981419/;Москва;rent;flat;2;7;4;160.0;1125;180000;0;Тверской;Садовая-Самотечная;Цветной бульвар
ID 438578;real_estate_agent;https://www.cian.ru/rent/flat/288980983/;Москва;rent;flat;7;26;5;201.0;970;195000;0;Гагаринский;Губкина;Академическая
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/288966809/;Москва;rent;flat;4;6;4;168.0;1250;210000;0;Мещанский;Последний переулок;Сухаревская
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/288954097/;Москва;rent;flat;5;7;4;150.0;1666;250000;0;Хамовники;Ефремова;Спортивная
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/288905546/;Москва;rent;flat;16;17;4;140.0;857;120000;0;Кунцево;Полоцкая;Кунцевская
Slava Realty;real_estate_agent;https://www.cian.ru/rent/flat/288880544/;Москва;rent;flat;2;6;5;150.0;1000;150000;0;Басманный;Жуковского;Чистые пруды
Олеся Кузнецова;realtor;https://www.cian.ru/rent/flat/288514918/;Москва;rent;flat;22;24;4;90.0;1111;100000;50;Ломоносовский;проспект Вернадского;Проспект Вернадского
Виолетта Ястржембская;realtor;https://www.cian.ru/rent/flat/273396535/;Москва;rent;flat;1;6;4;79.0;1012;80000;50;Хорошевский;Зорге;Хорошёвская
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/286899304/;Москва;rent;flat;1;14;4;100.0;530;53000;50;Новокосино;Суздальская;Новокосино
ID 115034;realtor;https://www.cian.ru/rent/flat/280455074/;Москва;rent;flat;5;10;4;134.0;649;87000;50;Куркино;Новокуркинское шоссе;Планерная
Игорь Поляков;realtor;https://www.cian.ru/rent/flat/265208694/;Москва;rent;flat;12;23;4;109.0;1009;110000;50;Чертаново Южное;Варшавское шоссе;Лесопарковая
Галина Гусева;realtor;https://www.cian.ru/rent/flat/287680664/;Москва;rent;flat;5;6;5;173.0;982;170000;0;Басманный;Большой Казенный переулок;Курская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/288227876/;Москва;rent;flat;4;4;4;159.0;1257;200000;0;Мещанский;Неглинная;Трубная
ID 58294005;unknown;https://www.cian.ru/rent/flat/288706441/;Москва;rent;flat;3;4;4;99.0;707;70000;0;Донской;5-й Донской проезд;Ленинский проспект
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/287509842/;Москва;rent;flat;6;33;4;165.0;909;150000;0;Аэропорт;Кочновский проезд;Аэропорт
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/288095296/;Москва;rent;flat;13;25;4;170.0;735;125000;0;Головинский;Пулковская;Водный стадион
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/282308762/;Москва;rent;flat;13;25;4;163.0;766;124990;0;Головинский;Пулковская;Водный стадион
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/287600087/;Москва;rent;flat;8;8;4;90.0;1333;120000;0;Пресненский;Красная Пресня;Краснопресненская
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/287297162/;Москва;rent;flat;9;12;4;120.0;1333;160000;0;Якиманка;Серафимовича;Боровицкая
МЕЗОН;real_estate_agent;https://www.cian.ru/rent/flat/287203381/;Москва;rent;flat;8;9;4;120.0;1333;160000;0;Басманный;Казакова;Курская
РЕЛАЙФ;real_estate_agent;https://www.cian.ru/rent/flat/288375666/;Москва;rent;flat;5;17;4;110.0;727;80000;0;Митино;Барышиха;Митино
ID 82262216;real_estate_agent;https://www.cian.ru/rent/flat/288696897/;Москва;rent;flat;2;17;4;93.0;752;69990;50;Ново-Переделкино;Лукинская;Новопеределкино
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/276990168/;Москва;rent;flat;8;8;4;103.0;1359;140000;0;Таганский;Рогожский Вал;Римская
Dream City;real_estate_agent;https://www.cian.ru/rent/flat/288184422/;Москва;rent;flat;25;35;4;150.0;1200;180000;0;Измайлово;Первомайская;Измайловская
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/285640833/;Москва;rent;flat;5;8;5;175.0;1314;230000;0;Пресненский;Малая Бронная;Маяковская
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/283026407/;Москва;rent;flat;40;48;5;230.0;1086;250000;0;Хорошево-Мневники;проспект Маршала Жукова;
ID 291339;realtor;https://www.cian.ru/rent/flat/285301924/;Москва;rent;flat;8;8;4;90.0;1333;120000;0;Пресненский;Красная Пресня;Краснопресненская
Dream City;real_estate_agent;https://www.cian.ru/rent/flat/288876070/;Москва;rent;flat;10;13;4;114.0;1754;200000;0;Раменки;Дружбы;Ломоносовский проспект
ID 250261;realtor;https://www.cian.ru/rent/flat/288323278/;Москва;rent;flat;7;22;5;165.0;1000;165000;0;Можайский;Кутузова;Рабочий посёлок
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/287672006/;Москва;rent;flat;10;13;4;114.0;1754;200000;0;Раменки;Дружбы;Ломоносовский проспект
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/287544198/;Москва;rent;flat;12;24;4;124.0;887;110000;0;Хорошево-Мневники;Маршала Тухачевского;Народное Ополчение
ID 61464660;realtor;https://www.cian.ru/rent/flat/288551882/;Москва;rent;flat;3;17;4;125.0;920;115000;0;Головинский;Пулковская;Водный стадион
Галина Гусева;realtor;https://www.cian.ru/rent/flat/278015649/;Москва;rent;flat;5;20;4;120.0;1250;150000;0;Якиманка;Шаболовка;Шаболовская
Татьяна Дубинская;realtor;https://www.cian.ru/rent/flat/270993180/;Москва;rent;flat;35;41;4;154.0;779;120000;50;Чертаново Северное;Северное Чертаново мкр;Чертановская
БРАЙТХОУМ;real_estate_agent;https://www.cian.ru/rent/flat/234793783/;Москва;rent;flat;5;9;4;85.0;1176;100000;0;Дорогомилово;Киевская;Студенческая
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/287897943/;Москва;rent;flat;5;16;4;108.0;740;80000;0;Митино;Барышиха;Митино
ID 6875602;realtor;https://www.cian.ru/rent/flat/287928148/;Москва;rent;flat;8;22;4;100.1;829;83000;50;Строгино;Таллинская;Строгино
ID 158676;realtor;https://www.cian.ru/rent/flat/285665217/;Москва;rent;flat;6;8;4;129.9;1154;150000;0;Якиманка;Донская;Октябрьская
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/288003357/;Москва;rent;flat;14;17;4;86.0;872;75000;0;Ховрино;Дыбенко;Беломорская
Лариса Алексеева;realtor;https://www.cian.ru/rent/flat/288137208/;Москва;rent;flat;2;13;4;116.0;689;80000;50;Восточное Дегунино;Дубнинская;Бескудниково
ATLANT;real_estate_agent;https://www.cian.ru/rent/flat/288373125/;Москва;rent;flat;4;17;4;95.0;1052;100000;50;Теплый Стан;Ленинский проспект;Тропарёво
ID 285641;homeowner;https://www.cian.ru/rent/flat/274600321/;Москва;rent;flat;11;17;5;125.0;840;105000;0;Тропарево-Никулино;Академика Анохина;Юго-Западная
ИНГРУПП;real_estate_agent;https://www.cian.ru/rent/flat/287393550/;Москва;rent;flat;19;33;4;128.0;859;110000;0;Нагатино-Садовники;1-й Нагатинский проезд;Нагатинская
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/288659854/;Москва;rent;flat;2;5;4;99.0;1111;110000;0;Пресненский;Гашека;Маяковская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/288658390/;Москва;rent;flat;6;8;4;130.0;1000;130000;0;Басманный;Лубянский проезд;Китай-город
Алексей Авличев;realtor;https://www.cian.ru/rent/flat/285319844/;Москва;rent;flat;5;33;4;140.0;928;130000;0;Тропарево-Никулино;проспект Вернадского;Юго-Западная
ID 129432;realtor;https://www.cian.ru/rent/flat/262378690/;Москва;rent;flat;14;23;4;160.0;906;145000;0;Щукино;Маршала Бирюзова;Октябрьское поле
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/275649292/;Москва;rent;flat;2;5;4;125.0;1200;150000;0;Басманный;Армянский переулок;Чистые пруды
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/281957563/;Москва;rent;flat;4;5;4;123.0;1219;150000;0;Замоскворечье;Малая Ордынка;Третьяковская
Валентина Алексеева;realtor;https://www.cian.ru/rent/flat/287825988/;Москва;rent;flat;3;7;4;152.7;1047;160000;0;Ивановское;Чечулина;Первомайская
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/rent/flat/287947455/;Москва;rent;flat;11;11;4;160.0;1156;185000;0;Раменки;Мичуринский проспект;Раменки
Антон Пермикоза;realtor;https://www.cian.ru/rent/flat/285458465/;Москва;rent;flat;11;14;4;150.0;1333;200000;0;Марьино;Верхние Поля;Братиславская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/283773563/;Москва;rent;flat;7;9;5;229.0;1004;230000;0;Тверской;Тверская;Маяковская
Зиля Карамова;realtor;https://www.cian.ru/rent/flat/276235797/;Москва;rent;flat;2;26;4;236.0;635;150000;0;Можайский;Можайское шоссе;Кунцевская
Selenahome;real_estate_agent;https://www.cian.ru/rent/flat/284363323/;Москва;rent;flat;5;32;4;100.0;850;85000;0;Восточное Дегунино;Дубнинская;Лианозово
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/284992078/;Москва;rent;flat;5;9;4;89.0;1123;100000;25;Дорогомилово;Киевская;Студенческая
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/286970681/;Москва;rent;flat;4;26;4;124.0;1209;150000;0;Хорошевский;проезд Березовой Рощи;ЦСКА
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/287203415/;Москва;rent;flat;3;6;5;130.0;1153;150000;0;Замоскворечье;Большой Овчинниковский переулок;Новокузнецкая
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/288349009/;Москва;rent;flat;21;22;4;184.0;1141;210000;0;Хорошевский;Чапаевский переулок;Аэропорт
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/287718099/;Москва;rent;flat;7;8;4;87.0;862;75000;50;Измайлово;9-я Парковая;Щёлковская
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/288662446/;Москва;rent;flat;20;20;4;154.0;844;130000;0;Хорошево-Мневники;Карамышевская набережная;Народное Ополчение
Прометей;real_estate_agent;https://www.cian.ru/rent/flat/288874142/;Москва;rent;flat;14;17;4;175.0;742;130000;0;Можайский;Вересаева;Давыдково
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/281958008/;Москва;rent;flat;6;9;4;165.0;787;130000;0;Даниловский;Хавская;Шаболовская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/287001279/;Москва;rent;flat;15;21;4;125.0;1200;150000;0;Якиманка;Шаболовка;Шаболовская
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/283632551/;Москва;rent;flat;4;9;4;143.0;1188;170000;0;Тверской;Тверская;Маяковская
